TEAM,OPP,OUTCOME
Cincinnati,UCLA,W
Cincinnati,Ohio State,L
Cincinnati,Miami OH,W
Cincinnati,Marshall,W
Cincinnati,UCF,W
Cincinnati,Houston,W
Cincinnati,Tulsa,W
Cincinnati,East Carolina,W
Cincinnati,UCONN,W
Cincinnati,South Florida,W
Cincinnati,Temple,W
Cincinnati,Memphis,L
UCF,OTHER,W
UCF,FL Atlantic,W
UCF,Stanford,W
UCF,Pitt,L
UCF,UCONN,W
UCF,Cincinnati,L
UCF,East Carolina,W
UCF,Temple,W
UCF,Houston,W
UCF,Tulsa,L
UCF,Tulane,W
UCF,South Florida,W
Temple,OTHER,W
Temple,Maryland,W
Temple,Buffalo,L
Temple,Georgia Tech,W
Temple,East Carolina,W
Temple,Memphis,W
Temple,SMU,L
Temple,UCF,L
Temple,South Florida,W
Temple,Tulane,W
Temple,Cincinnati,L
Temple,UCONN,W
South Florida,Wisconsin,L
South Florida,Georgia Tech,L
South Florida,OTHER,W
South Florida,SMU,L
South Florida,UCONN,W
South Florida,BYU,W
South Florida,Navy,L
South Florida,East Carolina,W
South Florida,Temple,L
South Florida,Cincinnati,L
South Florida,Memphis,L
South Florida,UCF,L
East Carolina,NC State,L
East Carolina,OTHER,W
East Carolina,Navy,L
East Carolina,OTHER,W
East Carolina,Old Dominion,W
East Carolina,Temple,L
East Carolina,UCF,L
East Carolina,South Florida,L
East Carolina,Cincinnati,L
East Carolina,SMU,L
East Carolina,UCONN,W
East Carolina,Tulsa,L
UCONN,OTHER,W
UCONN,Illinois,L
UCONN,Indiana,L
UCONN,UCF,L
UCONN,South Florida,L
UCONN,Tulane,L
UCONN,Houston,L
UCONN,UMass,W
UCONN,Navy,L
UCONN,Cincinnati,L
UCONN,East Carolina,L
UCONN,Temple,L
Memphis,Miss,W
Memphis,South Alabama,W
Memphis,OTHER,W
Memphis,Navy,W
Memphis,LA Monroe,W
Memphis,Temple,L
Memphis,Tulane,W
Memphis,Tulsa,W
Memphis,SMU,W
Memphis,Houston,W
Memphis,South Florida,W
Memphis,Cincinnati,W
Navy,OTHER,W
Navy,East Carolina,W
Navy,Memphis,L
Navy,Air Force,W
Navy,Tulsa,W
Navy,South Florida,W
Navy,Tulane,W
Navy,UCONN,W
Navy,Notre Dame,L
Navy,SMU,W
Navy,Houston,W
Navy,Army,G
SMU,Arkansas State,W
SMU,North Texas,W
SMU,Texas St,W
SMU,TCU,W
SMU,South Florida,W
SMU,Tulsa,W
SMU,Temple,W
SMU,Houston,W
SMU,Memphis,L
SMU,East Carolina,W
SMU,Navy,L
SMU,Tulane,W
Tulane,FIU,W
Tulane,Auburn,L
Tulane,OTHER,W
Tulane,Houston,W
Tulane,Army,W
Tulane,UCONN,W
Tulane,Memphis,L
Tulane,Navy,L
Tulane,Tulsa,W
Tulane,Temple,L
Tulane,UCF,L
Tulane,SMU,L
Houston,Oklahoma,L
Houston,OTHER,W
Houston,Washington State,L
Houston,Tulane,L
Houston,North Texas,W
Houston,Cincinnati,L
Houston,UCONN,W
Houston,SMU,L
Houston,UCF,L
Houston,Memphis,L
Houston,Tulsa,W
Houston,Navy,L
Tulsa,MI State,L
Tulsa,San Jose State,W
Tulsa,Oklahoma State,L
Tulsa,Wyoming,W
Tulsa,SMU,L
Tulsa,Navy,L
Tulsa,Cincinnati,L
Tulsa,Memphis,L
Tulsa,Tulane,L
Tulsa,UCF,W
Tulsa,Houston,L
Tulsa,East Carolina,W
